kabupaten_kota;tahun;pdrb
Ogan Komering Ulu;2010;6629.77
Ogan Komering Ulu;2011;7007.38
Ogan Komering Ulu;2012;7376.01
Ogan Komering Ulu;2013;7704.61
Ogan Komering Ulu;2014;7987.73
Ogan Komering Ulu;2015;8230.96
Ogan Komering Ulu;2016;8556.8
Ogan Komering Ulu;2017;8904.37
Ogan Komering Ulu;2018;9339.33
Ogan Komering Ulu;2019;9867.73
Ogan Komering Ulu;2020;9866.72
Ogan Komering Ulu;2021;10116.56
Ogan Komering Ulu;2022;10683.32
Ogan Komering Ulu;2023;11229.12
Ogan Komering Ilir;2010;12492.89
Ogan Komering Ilir;2011;13354.4
Ogan Komering Ilir;2012;14230.59
Ogan Komering Ilir;2013;15135.83
Ogan Komering Ilir;2014;15902.81
Ogan Komering Ilir;2015;16667.05
Ogan Komering Ilir;2016;17412.46
Ogan Komering Ilir;2017;18301.92
Ogan Komering Ilir;2018;19205.73
Ogan Komering Ilir;2019;20180.57
Ogan Komering Ilir;2020;20228.21
Ogan Komering Ilir;2021;20905.99
Ogan Komering Ilir;2022;21985.13
Ogan Komering Ilir;2023;23088.94
Muara Enim;2010;21696.03
Muara Enim;2011;24359.4
Muara Enim;2012;26374.75
Muara Enim;2013;28158.76
Muara Enim;2014;29041.81
Muara Enim;2015;31254.5
Muara Enim;2016;33372.45
Muara Enim;2017;35761.99
Muara Enim;2018;38854.44
Muara Enim;2019;41581.53
Muara Enim;2020;41594.54
Muara Enim;2021;44236.77
Muara Enim;2022;48099.37
Muara Enim;2023;52228.24
Lahat;2010;8514.05
Lahat;2011;9003.71
Lahat;2012;9479.39
Lahat;2013;9937.39
Lahat;2014;10318.7
Lahat;2015;10539.02
Lahat;2016;10786.01
Lahat;2017;11265.29
Lahat;2018;11723.72
Lahat;2019;12382.33
Lahat;2020;12427.42
Lahat;2021;13037.37
Lahat;2022;13945.58
Lahat;2023;14883.95
Musi Rawas;2010;9062.37
Musi Rawas;2011;9167.47
Musi Rawas;2012;9245.29
Musi Rawas;2013;9788.57
Musi Rawas;2014;10510.08
Musi Rawas;2015;11049.7
Musi Rawas;2016;11629.97
Musi Rawas;2017;12214.77
Musi Rawas;2018;12921.71
Musi Rawas;2019;13680.64
Musi Rawas;2020;13712.55
Musi Rawas;2021;14032.62
Musi Rawas;2022;14602.02
Musi Rawas;2023;15189.77
Musi Banyuasin;2010;31753.93
Musi Banyuasin;2011;32904.81
Musi Banyuasin;2012;35290.94
Musi Banyuasin;2013;36683.31
Musi Banyuasin;2014;38397.52
Musi Banyuasin;2015;39278.56
Musi Banyuasin;2016;40128.98
Musi Banyuasin;2017;41341.25
Musi Banyuasin;2018;42670.21
Musi Banyuasin;2019;44620.4
Musi Banyuasin;2020;44604.66
Musi Banyuasin;2021;46128.99
Musi Banyuasin;2022;48097.66
Musi Banyuasin;2023;50268.35
Banyuasin;2010;12313.18
Banyuasin;2011;12980.04
Banyuasin;2012;13777.76
Banyuasin;2013;14628.96
Banyuasin;2014;15380.59
Banyuasin;2015;16236
Banyuasin;2016;17192.42
Banyuasin;2017;18060.42
Banyuasin;2018;18982
Banyuasin;2019;19973.44
Banyuasin;2020;19999.57
Banyuasin;2021;20767.64
Banyuasin;2022;21871.6
Banyuasin;2023;22978.68
Ogan Komering Ulu Selatan;2010;3663.7
